geoid,state,DesignatedOZ,county,Type,Population,medhhincome,PovertyRate,unemprate,medvalue,medrent,severerentburden,vacancyrate,pctwhite,pctBlack,pctHispanic,pctunder18,pctover64,HSorlower,BAorhigher,CBSAType
25003914100,Massachusetts,,Berkshire County,Not Eligible,5856,61507.0,0.1060845169209188,0.0481622306717363,239900.0,761.0,0.1434659090909091,0.2279146141215106,0.9330601092896176,0.0122950819672131,0.03159153,0.1857923497267759,0.2197745901639344,0.4,0.3288056206088993,Metro
25003920101,Massachusetts,,Berkshire County,Not Eligible,4311,73125.0,0.082963469,0.06261426,274800.0,1016.0,0.2402597402597402,0.1915776986951364,0.7954070981210856,0.0394340060310832,0.078172118,0.1709580143818139,0.1737415912781257,0.1984163949697251,0.632044714,Metro
25003920102,Massachusetts,,Berkshire County,Not Eligible,3281,72407.0,0.1583493282149712,0.065432099,368200.0,876.0,0.1932203389830508,0.2444076222038111,0.7708015848826577,0.056994819,0.063090521,0.1161231331911002,0.2371228284059738,0.2378779235596121,0.6149458071876782,Metro
25003921300,Massachusetts,,Berkshire County,Low-Income Community,4603,27863.0,0.1884958148002624,0.065098695,164800.0,631.0,0.212259829044342,0.1597981452941894,0.8687812089920044,0.0225939601659774,0.059526395,0.1151423007249832,0.1814034283161163,0.5626702904701233,0.2612397968769073,Metro
25003921400,Massachusetts,1.0,Berkshire County,Low-Income Community,1592,36231.0,0.2085427194833755,0.145916998386383,123400.0,754.0,0.3881579041481018,0.1563483774662017,0.92776382,0.005653266,0.02638191,0.1074120625853538,0.1928391903638839,0.5258215665817261,0.1721439808607101,Metro
25003921500,Massachusetts,,Berkshire County,Low-Income Community,3190,41959.0,0.1639498472213745,0.092402466,149800.0,666.0,0.1885245889425277,0.1005802676081657,0.9573667645454408,0.000940438883844763,0.0278996862471103,0.2141065895557403,0.1880877763032913,0.4491211771965027,0.2784458696842193,Metro
25003922100,Massachusetts,1.0,Berkshire County,Low-Income Community,2476,41829.0,0.1462626308202743,0.048324239,148200.0,553.0,0.2090729773044586,0.1676808595657348,0.9337641596794128,0.0141357025131583,0.023424879,0.2217285931110382,0.2136510461568832,0.4772727191448211,0.2142045497894287,Metro
25003922200,Massachusetts,,Berkshire County,Low-Income Community,3720,53304.0,0.1047952622175216,0.1044776141643524,151100.0,686.0,0.1618181765079498,0.098306939,0.9704301357269288,0.0,0.004569892,0.1682795733213424,0.1610215008258819,0.5672793984413147,0.2113970518112182,Metro
25003922300,Massachusetts,1.0,Berkshire County,Non-LIC Contiguous,2070,52569.0,0.0487922690808773,0.070638299,149600.0,732.0,0.1704545468091964,0.1160714253783226,0.9869565367698668,0.0,0.008212561,0.1826086938381195,0.1777777820825576,0.4667943716049194,0.2681992352008819,Metro
25003923100,Massachusetts,,Berkshire County,Non-LIC Contiguous,3192,58145.0,0.0485957711935043,0.089663051,198800.0,822.0,0.086956523,0.1156670749187469,0.9765037298202516,0.0,0.0206766910851001,0.1647869646549224,0.2136591523885727,0.4418509304523468,0.1912366896867752,Metro
